data_name,data_path,n_samples,n_features,n_events,c_td_cox,c_index_harrell,admm_best_c_td,admm_median_c_td,admm_mean_c_td,delta_best_admm_minus_cox,delta_median_admm_minus_cox
extended_aft_step_seed_64,data/extended_aft_step/extended_aft_step_seed_64.csv,1000,3,871,0.6779120684495636,0.6779120684495636,0.6889172534673661,0.6869079827288217,0.6868978040523347,0.011005185017802455,0.008995914279258055
extended_aft_step_seed_65,data/extended_aft_step/extended_aft_step_seed_65.csv,1000,3,848,0.7012817754280269,0.7012817754280269,0.7108986772405455,0.7099048145985102,0.7095729518367585,0.009616901812518508,0.008623039170483238
extended_aft_step_seed_66,data/extended_aft_step/extended_aft_step_seed_66.csv,1000,3,865,0.7027906009395798,0.7027906009395798,0.7115216788464048,0.7095948062116665,0.7094585139116877,0.008731077906825035,0.006804205272086694
extended_aft_step_seed_67,data/extended_aft_step/extended_aft_step_seed_67.csv,1000,3,848,0.6997924176074132,0.6997924176074132,0.7093272732116255,0.7069092354697448,0.7070482564621304,0.0095348556042123,0.007116817862331648
extended_aft_step_seed_68,data/extended_aft_step/extended_aft_step_seed_68.csv,1000,3,852,0.7126857882004282,0.7126857882004282,0.722837365993033,0.7216543797099432,0.7210968185187874,0.010151577792604893,0.008968591509515011
extended_aft_step_seed_69,data/extended_aft_step/extended_aft_step_seed_69.csv,1000,3,854,0.7113575186339723,0.7113575186339723,0.7216154079019497,0.7194411035566137,0.7192525999714929,0.010257889267977327,0.008083584922641385
extended_aft_step_seed_70,data/extended_aft_step/extended_aft_step_seed_70.csv,1000,3,876,0.710946966924472,0.710946966924472,0.7196306145851123,0.7184595115524435,0.717684340648875,0.008683647660640337,0.0075125446279714625
extended_aft_step_seed_71,data/extended_aft_step/extended_aft_step_seed_71.csv,1000,3,856,0.6920587676136236,0.6920587676136236,0.6988844619885073,0.6980422379446463,0.6977339891089716,0.006825694374883673,0.0059834703310226445
extended_aft_step_seed_72,data/extended_aft_step/extended_aft_step_seed_72.csv,1000,3,861,0.6990111904499451,0.6990111904499451,0.7051881881759281,0.7034632829946803,0.7035688938195428,0.006176997725983013,0.00445209254473522
extended_aft_step_seed_73,data/extended_aft_step/extended_aft_step_seed_73.csv,1000,3,855,0.6941345351633431,0.6941345351633431,0.7061480639303768,0.7043485906852721,0.7042983302782467,0.012013528767033654,0.010214055521929
extended_aft_step_seed_74,data/extended_aft_step/extended_aft_step_seed_74.csv,1000,3,873,0.6938831567574606,0.6938831567574606,0.7006606589498229,0.6987399258157521,0.6986575750251577,0.006777502192362284,0.004856769058291466
extended_aft_step_seed_75,data/extended_aft_step/extended_aft_step_seed_75.csv,1000,3,866,0.6892003179974315,0.6892003179974315,0.7001569602707055,0.6981918992192755,0.6983251491551719,0.010956642273273975,0.008991581221843958
extended_aft_step_seed_76,data/extended_aft_step/extended_aft_step_seed_76.csv,1000,3,852,0.7091985640547035,0.7091985640547035,0.7184085894743736,0.7163230303848972,0.7165650763161019,0.009210025419670087,0.007124466330193702
extended_aft_step_seed_77,data/extended_aft_step/extended_aft_step_seed_77.csv,1000,3,865,0.6894491624782081,0.6894491624782081,0.7010347956406048,0.6996136083273012,0.6990128527145343,0.011585633162396691,0.010164445849093151
extended_aft_step_seed_78,data/extended_aft_step/extended_aft_step_seed_78.csv,1000,3,869,0.6890320530707766,0.6890320530707766,0.7002649872598362,0.6967291080663263,0.6969450085239945,0.011232934189059574,0.007697054995549624
extended_aft_step_seed_79,data/extended_aft_step/extended_aft_step_seed_79.csv,1000,3,863,0.6889051648862811,0.6889051648862811,0.7005055533340406,0.6999077844604575,0.6990609004823813,0.011600388447759569,0.011002619574176475
extended_aft_step_seed_80,data/extended_aft_step/extended_aft_step_seed_80.csv,1000,3,853,0.7048481314386847,0.7048481314386847,0.7134947672098947,0.7125617653377528,0.7122448419178875,0.008646635771209943,0.007713633899068095
extended_aft_step_seed_81,data/extended_aft_step/extended_aft_step_seed_81.csv,1000,3,846,0.7049746051339254,0.7049746051339254,0.7118354224036646,0.7100084683727806,0.7099904459660727,0.0068608172697391945,0.005033863238855241
extended_aft_step_seed_82,data/extended_aft_step/extended_aft_step_seed_82.csv,1000,3,864,0.702133387721803,0.702133387721803,0.7149031205384458,0.7127676932490312,0.7125800530287579,0.012769732816642843,0.010634305527228216
extended_aft_step_seed_83,data/extended_aft_step/extended_aft_step_seed_83.csv,1000,3,869,0.701677916597076,0.701677916597076,0.7091896383863648,0.7079736682377191,0.7079355050204998,0.007511721789288828,0.00629575164064311
extended_aft_step_seed_84,data/extended_aft_step/extended_aft_step_seed_84.csv,1000,3,871,0.6953904470307541,0.6953904470307541,0.7020677131788469,0.7014997384058841,0.7011370531377311,0.00667726614809272,0.006109291375129944
extended_aft_step_seed_85,data/extended_aft_step/extended_aft_step_seed_85.csv,1000,3,875,0.6916212660122465,0.6916212660122465,0.6956132698029215,0.6937992772500524,0.6940506973885165,0.003992003790674992,0.0021780112378059213
extended_aft_step_seed_86,data/extended_aft_step/extended_aft_step_seed_86.csv,1000,3,857,0.6962139914331491,0.6962139914331491,0.7038857371742472,0.7020566981656475,0.7021898560775938,0.007671745741098079,0.005842706732498426
extended_aft_step_seed_87,data/extended_aft_step/extended_aft_step_seed_87.csv,1000,3,868,0.703148938944486,0.703148938944486,0.7083258630244157,0.7073825667438146,0.7073218749517468,0.005176924079929646,0.004233627799328565
extended_aft_step_seed_88,data/extended_aft_step/extended_aft_step_seed_88.csv,1000,3,863,0.697698710625102,0.697698710625102,0.7117635057940265,0.7095295413742452,0.7091393358130106,0.014064795168924449,0.01183083074914315
extended_aft_step_seed_89,data/extended_aft_step/extended_aft_step_seed_89.csv,1000,3,859,0.707131156581522,0.707131156581522,0.7144126405745121,0.7127337121475169,0.7127297346630888,0.007281483992990112,0.005602555565994871
extended_aft_step_seed_90,data/extended_aft_step/extended_aft_step_seed_90.csv,1000,3,846,0.7105491945802304,0.7105491945802304,0.7141005872510744,0.711076162199403,0.7114781598200086,0.0035513926708440335,0.0005269676191725914
extended_aft_step_seed_91,data/extended_aft_step/extended_aft_step_seed_91.csv,1000,3,878,0.6774364643578561,0.6774364643578561,0.6941388293916104,0.6930150420861394,0.6912745461480096,0.01670236503375433,0.015578577728283305
extended_aft_step_seed_92,data/extended_aft_step/extended_aft_step_seed_92.csv,1000,3,850,0.7143216996317792,0.7143216996317792,0.7285119210967164,0.7254727684550701,0.7257104380385156,0.014190221464937203,0.011151068823290977
extended_aft_step_seed_93,data/extended_aft_step/extended_aft_step_seed_93.csv,1000,3,867,0.6941981845380029,0.6941981845380029,0.701871303553887,0.6997986443137398,0.6996891279299388,0.007673119015884189,0.005600459775736977
extended_aft_step_seed_94,data/extended_aft_step/extended_aft_step_seed_94.csv,1000,3,856,0.7085761711922581,0.7085761711922581,0.7147845071660592,0.7129487858277407,0.712929526999962,0.006208335973801105,0.004372614635482552
extended_aft_step_seed_95,data/extended_aft_step/extended_aft_step_seed_95.csv,1000,3,859,0.704770774867955,0.704770774867955,0.7146297226749673,0.713706531374207,0.7130563845429311,0.009858947807012242,0.008935756506252002
extended_aft_step_seed_96,data/extended_aft_step/extended_aft_step_seed_96.csv,1000,3,870,0.7025584009383247,0.7025584009383247,0.7089055322060405,0.7070525038282345,0.7070058833918929,0.0063471312677158,0.004494102889909812
extended_aft_step_seed_97,data/extended_aft_step/extended_aft_step_seed_97.csv,1000,3,851,0.7119515705386078,0.7119515705386078,0.7204987890587414,0.7194710755983564,0.7193395136215134,0.008547218520133626,0.007519505059748632
extended_aft_step_seed_98,data/extended_aft_step/extended_aft_step_seed_98.csv,1000,3,888,0.7032206008166045,0.7032206008166045,0.7152426094043328,0.7141823209572195,0.7135973857386348,0.012022008587728283,0.010961720140614917
extended_aft_step_seed_99,data/extended_aft_step/extended_aft_step_seed_99.csv,1000,3,862,0.7023121505244684,0.7023121505244684,0.7114281049753072,0.709338394351251,0.7090941508295042,0.009115954450838792,0.00702624382678263
