data_name,lambda_fuse,lambda_fuse_effective,n_samples,n_features,objective_last,neg_loglik_last,primal_residual_last,dual_residual_last,c_td,n_params,result_path,bic,rho,max_admm_iter,clip_eta
extended_aft_step_seed_121,0.0,0.0,1000,3,1077.0894905482012,1077.0894905482012,0.0,0.0,0.8234058417086704,15,outputs/lambda_experiments/extended_aft_step_seed_121/lambda_0.0/result.json,2257.7953102811343,1.0,1000,20
extended_aft_step_seed_126,0.0,0.0,1000,3,1077.18446699154,1077.18446699154,0.0,0.0,0.818505323621769,15,outputs/lambda_experiments/extended_aft_step_seed_126/lambda_0.0/result.json,2257.985263167812,1.0,1000,20
extended_aft_step_seed_66,0.0,0.0,1000,3,1079.141512710913,1079.141512710913,0.0,0.0,0.8261958024892215,15,outputs/lambda_experiments/extended_aft_step_seed_66/lambda_0.0/result.json,2261.899354606558,1.0,1000,20
extended_aft_step_seed_65,0.0,0.0,1000,3,1079.21178531411,1079.21178531411,0.0,6.90622761310837e-06,0.8220436210074085,15,outputs/lambda_experiments/extended_aft_step_seed_65/lambda_0.0/result.json,2262.039899812952,1.0,1000,20
extended_aft_step_seed_133,0.0,0.0,1000,3,1080.4960997416736,1080.4960997416736,0.0,0.0,0.8200730236902437,15,outputs/lambda_experiments/extended_aft_step_seed_133/lambda_0.0/result.json,2264.608528668079,1.0,1000,20
extended_aft_step_seed_52,0.0,0.0,1000,3,1088.807396559916,1088.807396559916,0.0,0.0,0.8266740944356793,15,outputs/lambda_experiments/extended_aft_step_seed_52/lambda_0.0/result.json,2281.231122304564,1.0,1000,20
extended_aft_step_seed_116,0.0,0.0,1000,3,1095.6217139621701,1095.6217139621701,0.0,0.00036459343472868276,0.8197344263694974,15,outputs/lambda_experiments/extended_aft_step_seed_116/lambda_0.0/result.json,2294.8597571090722,1.0,1000,20
extended_aft_step_seed_63,0.0,0.0,1000,3,1097.4425637583345,1097.4425637583345,0.0,0.0003751648813081056,0.8265607777861537,15,outputs/lambda_experiments/extended_aft_step_seed_63/lambda_0.0/result.json,2298.501456701401,1.0,1000,20
extended_aft_step_seed_82,0.0,0.0,1000,3,1097.572743717342,1097.572743717342,0.0,0.00024042921460019727,0.806386230324257,15,outputs/lambda_experiments/extended_aft_step_seed_82/lambda_0.0/result.json,2298.761816619416,1.0,1000,20
extended_aft_step_seed_71,0.0,0.0,1000,3,1104.1125949157229,1104.1125949157229,0.0,0.00015454193359601434,0.8166913447847926,15,outputs/lambda_experiments/extended_aft_step_seed_71/lambda_0.0/result.json,2311.8415190161777,1.0,1000,20
extended_aft_step_seed_111,0.0,0.0,1000,3,1106.8932040426607,1106.8932040426607,0.0,0.0,0.8294206214271385,15,outputs/lambda_experiments/extended_aft_step_seed_111/lambda_0.0/result.json,2317.4027372700534,1.0,1000,20
extended_aft_step_seed_141,0.0,0.0,1000,3,1109.0097525235417,1109.0097525235417,0.0,0.0,0.8235612604939774,15,outputs/lambda_experiments/extended_aft_step_seed_141/lambda_0.0/result.json,2321.6358342318154,1.0,1000,20
extended_aft_step_seed_132,0.0,0.0,1000,3,1109.57438988209,1109.57438988209,0.0,0.0,0.8147890076991479,15,outputs/lambda_experiments/extended_aft_step_seed_132/lambda_0.0/result.json,2322.765108948912,1.0,1000,20
