data_name,lambda_fuse,lambda_fuse_effective,n_samples,n_eval_samples,n_features,objective_last,neg_loglik_last,primal_residual_last,dual_residual_last,c_td,c_td_train,c_td_test,n_change_points,n_params,result_path,bic,rho,max_admm_iter,clip_eta
oracle_seed_53,16.0,16000.0,1000,1000,3,11347.907426627004,1541.4003087833373,0.19486786547938487,0.0,0.5,0.5,0.5,0,11,outputs/pilot/oracle_seed_53/lambda_16.0/result.json,3158.785925635478,1.0,1000,20
no_change_seed_56,4.0,4000.0,1000,1000,3,11402.83095735374,1644.8771450285005,0.6481305322416818,0.0,0.5,0.5,0.5,0,11,outputs/pilot/no_change_seed_56/lambda_4.0/result.json,3365.7395981258046,1.0,1000,20
no_change_seed_51,4.0,4000.0,1000,1000,3,11417.437492224186,1668.8667060938537,0.6540370453472237,0.0,0.5,0.5,0.5,0,11,outputs/pilot/no_change_seed_51/lambda_4.0/result.json,3413.718720256511,1.0,1000,20
oracle_seed_44,8.0,8000.0,1000,1000,3,11466.17912243895,1551.5492916193612,0.43642407419851287,0.0,0.5,0.5,0.5,0,11,outputs/pilot/oracle_seed_44/lambda_8.0/result.json,3179.083891307526,1.0,1000,20
off_grid_seed_57,2.0,2000.0,1000,1000,3,11566.374538232858,1627.3057541981523,1.3496402801603753,0.0,0.5,0.5,0.5,0,11,outputs/pilot/off_grid_seed_57/lambda_2.0/result.json,3330.596816465108,1.0,1000,20
off_grid_seed_50,8.0,8000.0,1000,1000,3,11568.491365577354,1601.9159445517978,0.2768545431227734,0.0,0.5,0.5,0.5,0,11,outputs/pilot/off_grid_seed_50/lambda_8.0/result.json,3279.817197172399,1.0,1000,20
oracle_seed_61,16.0,16000.0,1000,1000,3,11613.341902275593,1494.1725998506136,0.22386207619618703,0.0,0.5,0.5,0.5,0,11,outputs/pilot/oracle_seed_61/lambda_16.0/result.json,3064.3305077700306,1.0,1000,20
small_seed_60,4.0,4000.0,1000,1000,3,11620.0522048141,1639.675481886568,0.682099514517162,0.0,0.5,0.5,0.5,0,11,outputs/pilot/small_seed_60/lambda_4.0/result.json,3355.3362718419394,1.0,1000,20
off_grid_seed_43,2.0,2000.0,1000,1000,3,11645.898012521357,1604.2696405277975,1.17546023124223,0.0,0.5,0.5,0.5,0,11,outputs/pilot/off_grid_seed_43/lambda_2.0/result.json,3284.5245891243985,1.0,1000,20
off_grid_seed_49,4.0,4000.0,1000,1000,3,11758.363279416866,1573.6125165566546,0.5946251733008647,0.0,0.5,0.5,0.5,0,11,outputs/pilot/off_grid_seed_49/lambda_4.0/result.json,3223.2103411821126,1.0,1000,20
